Event.Id,text_cluster
20001212X21128,1
20001213X32974,4
20150601X40521,3
20130610X25643,3
20001212X21921,0
20060109X00026,1
20001214X42290,1
20001214X42833,2
20001207X03961,1
20001212X22374,4
20050917X01489,0
20001206X02199,0
20001211X14600,2
20001214X35555,2
20120719X95843,0
20120609X33249,3
20020109X00050,0
20001213X26755,4
20060517X00585,0
20001212X19777,1
20140916X82235,2
20001212X18032,3
20001211X10339,1
20001208X06830,1
20001206X02256,3
20001213X32586,4
20001211X15252,1
20020808X01344,3
20001213X33503,4
20001214X38942,4
20050415X00462,0
20001213X24969,1
20001211X11746,1
20001213X27865,0
20001207X03751,3
20051116X01843,3
20001211X14874,3
20001214X42840,4
20001207X03340,0
20050622X00835,3
20001212X18692,2
20001213X31909,1
20001208X06010,2
20001213X28490,4
20010201X00380,3
20001214X39975,1
20001214X45379,4
20020917X05075,1
20001208X06787,0
20090722X62439,3
20050119X00067,1
20001213X28979,1
20070131X00120,1
20090615X33400,3
20001211X11960,2
20020828X01472,3
20001213X30207,4
20080305X00268,1
20010209X00426,1
20001211X10536,2
20001206X02115,1
20001214X39643,4
20001211X10555,1
20080911X01430,3
20001213X34128,1
20001214X38966,4
20020917X02233,2
20001214X37645,1
20001214X39950,4
20020917X02026,5
20001208X08125,5
20001212X20222,1
20001211X14448,0
20081014X63028,1
20001212X24229,3
20060810X01143,1
20020917X04537,4
20150204X65201,3
20001213X24934,4
20020917X02099,2
20001211X10475,1
20060511X00547,3
20001212X20044,3
20001207X03555,1
20001213X31062,1
20001207X04698,2
20001208X07885,3
20030505X00620,3
20070524X00630,2
20001212X22396,3
20021217X05614,1
20040625X00871,1
20040316X00326,2
20041201X01893,0
20001207X03025,3
